1908,5,4.6,4.8,4.6,5,4.8,5,4.6
1909,120,4.66,4.64,4.42,4.87,4.91,4.82,4.53
1910,5,4.6,4.8,4.2,4.6,5,4.4,4.4
1911,211,4.76,4.88,4.91,4.86,4.86,4.89,4.74
1912,0,0,0,0,0,0,0,0
1913,12,4.75,4.83,4.75,4.75,4.75,4.92,4.75
1914,29,4.59,4.72,4.62,4.93,4.93,4.79,4.55
1915,34,4.91,4.97,4.97,5,4.97,5,4.82
1916,14,4.57,4.79,4.64,5,4.93,5,4.36
1917,4,4.75,5,5,4.75,5,4.75,4.75
1918,3,5,5,5,5,5,5,4.33
1919,6,5,5,4.83,5,5,5,5
1920,2,4.5,5,5,5,5,5,5
1921,3,3.67,3.67,3.33,4,3.33,3.33,3.67
1922,203,4.63,4.75,4.65,4.82,4.93,4.88,4.51
1923,12,4.75,4.83,4.92,5,5,5,4.67
1924,192,4.97,4.95,5,4.99,4.97,4.52,4.88
1925,7,4.86,4.86,4.71,4.86,5,5,5
1926,17,4.71,4.76,4.71,4.94,4.94,4.94,4.53
1927,12,4.5,4.58,4.17,4.92,5,4.67,4.92
1928,52,4.81,4.82,4.57,4.96,4.98,4.82,4.65
1929,0,0,0,0,0,0,0,0
1930,139,4.89,4.88,4.88,4.98,5,4.67,4.8
1931,84,4.7,4.88,4.85,4.86,4.89,4.18,4.61
1932,78,4.76,4.72,4.64,4.89,4.91,4.75,4.64
1933,79,4.24,4.42,4.37,4.66,4.76,3.94,4.41
1934,182,4.55,4.76,4.48,4.75,4.74,4.65,4.62
1935,4,5,5,4.75,5,5,5,5
1936,2,4,5,3,5,5,4.5,4
1937,9,4.78,4.89,4.44,4.67,4.78,4.33,4.89
1938,149,4.81,4.8,4.64,4.91,4.89,4.8,4.68
1939,1,5,5,4,5,5,4,5
1940,0,0,0,0,0,0,0,0
1941,19,4.68,4.79,4.37,4.68,4.84,4.89,4.58
1942,22,4.73,4.64,4.68,4.73,4.91,4.95,4.36
1943,1,5,5,5,5,5,5,5
1944,39,5,4.97,4.85,5,5,4.92,4.87
1945,36,4.39,4.54,4.03,4.46,4.51,4.47,4.31
1946,4,4.5,5,4.25,5,5,4.75,4.5
1947,10,4.7,5,4.8,4.6,4.8,4.7,4.8
1948,44,4.75,4.93,4.91,4.89,4.77,4.89,4.8
1949,7,5,4.86,4.86,5,5,5,4.86
1950,7,4.29,4.67,4.83,4.83,4.67,4.67,4
1951,10,4.8,5,4.8,4.8,4.9,5,4.7
1952,21,4.95,4.95,4.95,4.81,4.95,4.81,4.67
1953,196,4.56,4.66,4.48,4.83,4.85,4.41,4.7
1954,4,4.5,4.5,2.75,5,5,5,4.67
1955,0,0,0,0,0,0,0,0
1956,3,5,5,5,5,5,5,5
1957,0,0,0,0,0,0,0,0
1958,36,4.81,4.86,5,5,4.86,4.89,4.66
1959,370,4.95,4.99,4.98,4.98,4.98,4.98,4.93
1960,32,4.66,4.84,4.84,4.94,4.77,4.65,4.68
1961,1,5,5,5,5,5,5,5
1962,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0
1964,21,4.86,4.86,4.76,4.9,5,4.76,4.81
1965,0,0,0,0,0,0,0,0
1966,24,4.92,4.88,5,4.83,4.83,4.63,4.92
1967,3,4,4.33,4,4.33,4,4,4.67
1968,0,0,0,0,0,0,0,0
1969,83,4.75,4.73,4.7,4.85,4.9,4.22,4.7
1970,1,5,5,5,5,5,5,5
1971,111,4.81,4.95,4.86,4.92,4.94,4.3,4.86
1972,36,4.89,4.91,5,4.88,4.91,4.79,4.82
1973,260,4.89,4.93,4.91,4.93,4.93,4.49,4.81
1974,9,5,5,5,5,5,4.89,5
1975,0,0,0,0,0,0,0,0
1976,207,4.88,4.83,4.78,4.93,4.91,4.95,4.77
1977,41,4.66,4.8,4.68,4.66,4.8,4.93,4.61
1978,21,4.71,4.95,4.57,5,5,4.86,4.71
1979,36,4.92,4.86,4.69,4.92,5,4.92,4.89
1980,0,0,0,0,0,0,0,0
1981,10,4.8,5,4.67,4.78,4.9,5,4.8
1982,13,4.77,4.85,4.69,4.62,4.54,4.69,4.69
1983,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0
1985,5,4.6,4.8,4.8,4.8,5,4.6,4.8
1986,2,5,4.5,4.5,5,5,5,5
1987,2,4.5,5,5,5,5,4.5,5
1988,37,4.95,4.97,4.89,5,5,4.92,4.78
1989,8,4.63,4.5,4.5,4.63,4.88,4.75,4.75
1990,0,0,0,0,0,0,0,0
1991,192,4.91,4.95,4.92,4.97,4.95,4.89,4.83
1992,42,4.76,4.95,4.88,4.98,4.98,4.83,4.76
1993,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0
1995,1,4,5,4,4,4,5,5
1996,108,4.19,4.47,4.19,4.72,4.78,4.51,4.2
1997,3,4.67,4.33,5,5,5,4.33,4.67
1998,0,0,0,0,0,0,0,0
1999,4,4.75,5,4.75,5,5,5,4.75
2000,225,4.87,4.96,4.92,4.94,4.96,4.89,4.87
2001,1,4,5,4,4,5,4,4
2002,355,4.48,4.63,4.31,4.82,4.64,4.77,4.5
2003,173,4.68,4.88,4.55,4.92,4.92,4.69,4.65
2004,42,4.93,4.95,4.69,4.98,4.95,4.95,4.85
2005,0,0,0,0,0,0,0,0
2006,1,4,4,5,4,4,4,4
2007,67,4.54,4.68,4.71,4.65,4.62,4.43,4.47
2008,0,0,0,0,0,0,0,0
2009,3,4.67,5,5,5,5,4.67,4.67
2010,0,0,0,0,0,0,0,0
2011,8,4.38,4.86,4.71,5,5,4.29,4.14
2012,414,4.88,4.9,4.8,4.96,4.95,4.66,4.83
2013,190,4.88,4.92,4.93,4.9,4.93,4.82,4.78
2014,20,5,4.9,4.65,5,5,4.95,4.9
2015,255,4.7,4.73,4.61,4.72,4.83,4.63,4.58
2016,2,4.5,3.5,5,4,4,3.5,4
2017,2,5,4.5,4,5,5,5,5
2018,11,4.27,4.64,4.09,4.55,4.73,3.82,4.36
2019,11,4.91,5,5,5,5,4.64,4.64
2020,10,4.5,4.3,4.8,4.8,4.9,4.6,4.6
2021,5,4.8,4.8,4.6,5,5,4.8,4.6
2022,0,0,0,0,0,0,0,0
2023,215,4.96,4.96,4.93,4.97,4.97,4.83,4.95
2024,69,4.79,4.88,4.83,4.96,4.96,4.54,4.82
2025,3,5,5,4.33,5,5,5,5
2026,50,4.68,4.79,4.71,4.83,4.88,4.38,4.68
2027,26,4.69,4.92,4.8,4.8,4.88,4.8,4.56
2028,83,4.69,4.72,4.52,4.82,4.8,4.77,4.66
2029,43,4.58,4.84,4.35,4.7,4.63,4.86,4.56
2030,72,4.39,4.36,4.29,4.86,4.86,4.55,4.35
2031,9,4.67,4.89,4.89,5,4.89,4.56,4.67
2032,88,4.64,4.75,4.57,4.86,4.91,4.52,4.63
2033,168,4.85,4.93,4.82,4.96,4.93,4.66,4.83
2034,0,0,0,0,0,0,0,0
2035,119,4.76,4.93,4.71,4.97,4.95,4.82,4.8
2036,43,4.88,4.93,4.74,5,4.95,4.63,4.7
2037,9,4.67,4.56,4.78,4.89,4.78,4.67,4.88
2038,11,4.45,4.45,3.82,4.73,4.45,4.91,4.6
2039,191,4.71,4.8,4.67,4.95,4.94,4.84,4.56
2040,29,4.38,4.48,4.48,4.59,4.59,4.38,4.21
2041,3,5,5,4.67,5,5,4.67,5
2042,2,5,5,4.5,5,5,5,5
2043,275,4.88,4.92,4.86,4.98,4.98,4.96,4.82
2044,189,4.7,4.8,4.68,4.84,4.87,4.99,4.58
2045,24,4.96,4.88,4.96,4.96,4.96,4.79,4.75
2046,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0
2049,97,4.76,4.76,4.77,4.91,4.99,4.72,4.77
2050,7,4.86,5,4.71,5,4.86,5,4.71
2051,1,4,4,3,5,5,5,5
2052,114,4.41,4.68,4.03,4.82,4.76,4.4,4.4
2053,33,4.94,4.97,4.67,4.85,4.97,5,4.82
2054,5,4.6,5,4.6,4.6,5,4.6,4.5
2055,0,0,0,0,0,0,0,0
2056,14,4.93,4.93,4.86,5,5,4.86,4.79
2057,350,4.76,4.88,4.31,4.96,4.94,4.75,4.83
2058,17,4.65,4.94,4.24,4.82,4.94,4.94,4.65
2059,29,4.97,5,4.93,5,5,5,4.76
2060,9,4.78,4.78,4.78,5,5,4.11,4.67
2061,1,5,5,5,5,5,5,5
2062,2,5,5,4.5,5,5,5,5
2063,5,4.6,4.8,4,4.8,4.8,5,4.6
2064,21,4.95,4.86,4.81,5,4.95,4.86,4.9
2065,1,5,5,5,5,5,4,5
2066,74,4.2,4.32,4.18,4.58,4.45,4,4.27
2067,138,4.7,4.82,4.61,4.87,4.88,4.89,4.67
2068,13,4.77,4.69,4.54,4.73,4.69,4.73,4.73
2069,6,4.67,4.5,3.5,4.5,5,5,4.17
2070,114,4.86,4.88,4.92,4.88,4.88,4.96,4.86
2071,3,4.67,5,5,5,4.33,4.33,5
2072,30,4.83,4.9,4.6,4.9,4.93,4.9,4.83
2073,10,4.8,5,4.7,4.9,4.9,5,4.7
2074,2,5,5,5,5,5,5,5
2075,82,4.99,4.99,5,5,5,4.88,4.96
2076,10,4.7,4.8,4.7,5,5,4.9,4.1
2077,11,4.36,4.18,4.36,4.18,4.18,4,4.09
2078,11,4.91,4.91,4.73,4.82,4.91,4.55,4.91
2079,3,5,5,5,5,5,4.67,5
2080,17,4.12,4.41,4,4.76,4.59,4.65,3.94
2081,4,5,5,5,5,5,4.75,4.25
2082,17,4.82,4.88,4.88,4.88,4.94,4.65,4.94
2083,22,4.82,5,4.82,4.86,4.91,4.95,4.77
2084,4,5,5,5,5,5,5,4.75
2085,34,4.41,4.5,4.53,4.59,4.65,4.32,4.41
2086,39,4.92,5,4.97,5,4.95,4.85,4.62
2087,19,4.74,4.79,4.68,4.95,4.84,4.74,4.74
2088,35,4.63,4.8,4.54,4.63,4.71,4.54,4.63
2089,70,4.91,4.96,4.93,4.96,4.97,4.88,4.81
2090,13,4.15,4.77,3.46,4.15,4.77,4.08,4.31
2091,12,4.92,5,5,5,5,5,5
2092,359,4.79,4.86,4.9,4.93,4.86,4.83,4.84
2093,29,4.62,4.76,4.69,4.69,4.83,4.76,4.72
2094,465,4.81,4.89,4.76,4.88,4.94,4.56,4.77
2095,0,0,0,0,0,0,0,0
2096,13,4.69,4.85,4.77,4.85,5,4.77,4.31
2097,17,4.65,4.76,4.47,4.82,5,5,4.65
2098,11,5,5,4.82,4.91,5,4.82,4.91
2099,13,4.85,4.77,4.62,4.85,4.85,4.92,4.77
2100,21,4.71,4.71,4.52,4.95,4.86,4.52,4.52
2101,7,4.29,4.67,4.29,4.57,4.71,4.43,4.29
2102,117,4.85,4.84,4.92,4.95,4.93,4.84,4.82
2103,250,4.79,4.89,4.84,4.77,4.82,4.67,4.74
2104,25,5,5,5,5,5,5,4.84
2105,344,4.88,4.92,4.92,4.84,4.87,4.68,4.88
2106,2,4.5,5,4,5,4.5,4,5
2107,27,4.78,4.92,5,4.92,4.96,4.54,4.85
2108,7,4.57,4.86,4.57,4.86,4.86,4.71,5
2109,235,4.69,4.82,4.76,4.89,4.94,4.45,4.57
2110,35,4.8,4.8,4.71,4.91,4.91,5,4.79
2111,20,4.65,4.84,4.47,4.95,4.95,4.83,4.42
2112,3,4.67,5,4.33,5,4.67,4.67,4.67
2113,11,4.91,4.91,4.91,4.82,4.91,5,5
2114,270,4.75,4.84,4.73,4.74,4.95,4.95,4.68
2115,35,4.86,4.82,4.77,4.88,4.94,4.74,4.76
2116,6,4.83,4.83,4.67,4.83,4.83,4.17,4.5
2117,263,4.73,4.84,4.72,4.89,4.83,4.6,4.77
